Channel,Energy,Counts,CPS
0,-0.47735226,0,0
1,-0.47235276,0,0
2,-0.46735326,0,0
3,-0.46235376,0,0
4,-0.45735426,0,0
5,-0.45235476,0,0
6,-0.44735526,0,0
7,-0.44235576,0,0
8,-0.43735626,0,0
9,-0.43235676,0,0
10,-0.42735726,0,0
11,-0.42235776,0,0
12,-0.41735826,0,0
13,-0.41235876,0,0
14,-0.40735926,0,0
15,-0.40235976,0,0
16,-0.39736026,0,0
17,-0.39236076,0,0
18,-0.38736126,0,0
19,-0.38236176,0,0
20,-0.37736226,0,0
21,-0.37236276,0,0
22,-0.36736326,0,0
23,-0.36236376,0,0
24,-0.35736426,0,0
25,-0.35236476,0,0
26,-0.34736526,0,0
27,-0.34236576,0,0
28,-0.33736626,0,0
29,-0.33236676,0,0
30,-0.32736726,0,0
31,-0.32236776,0,0
32,-0.31736826,0,0
33,-0.31236876,0,0
34,-0.30736926,0,0
35,-0.30236976,0,0
36,-0.29737026,0,0
37,-0.29237076,0,0
38,-0.28737126,0,0
39,-0.28237176,0,0
40,-0.27737226,0,0
41,-0.27237276,0,0
42,-0.26737326,0,0
43,-0.26237376,0,0
44,-0.25737426,0,0
45,-0.25237476,0,0
46,-0.24737526,0,0
47,-0.24237576,0,0
48,-0.23737626,0,0
49,-0.23237676,0,0
50,-0.22737726,0,0
51,-0.22237776,0,0
52,-0.21737826,0,0
53,-0.21237876,0,0
54,-0.20737926,0,0
55,-0.20237976,0,0
56,-0.19738026,0,0
57,-0.19238076,0,0
58,-0.18738126,0,0
59,-0.18238176,0,0
60,-0.17738226,0,0
61,-0.17238276,0,0
62,-0.16738326,0,0
63,-0.16238376,0,0
64,-0.15738426,0,0
65,-0.15238476,0,0
66,-0.14738526,0,0
67,-0.14238576,0,0
68,-0.13738626,0,0
69,-0.13238676,0,0
70,-0.12738726,0,0
71,-0.12238776,0,0
72,-0.11738826,0,0
73,-0.11238876,0,0
74,-0.10738926,0,0
75,-0.10238976,0,0
76,-0.09739026,0,0
77,-0.09239076,0,0
78,-0.08739126,0,0
79,-0.08239176,1,0.111197598
80,-0.07739226,0,0
81,-0.07239276,0,0
82,-0.06739326,0,0
83,-0.06239376,4,0.444790393
84,-0.05739426,9,1.000778383
85,-0.05239476,28,3.113532748
86,-0.04739526,99,11.00856222
87,-0.04239576,226,25.13065718
88,-0.03739626,542,60.26909819
89,-0.03239676,1089,121.0941844
90,-0.02739726,1987,220.9496275
91,-0.02239776,3305,367.5080618
92,-0.01739826,4976,553.3192483
93,-0.01239876,6726,747.915045
94,-0.00739926,8310,924.0520405
95,-0.00239976,9173,1020.015568
96,0.00259974,9064,1007.895029
97,0.00759924,8006,890.2479706
98,0.01259874,6542,727.454687
99,0.01759824,4840,538.196375
100,0.02259774,3225,358.612254
101,0.02759724,1982,220.3936395
102,0.03259674,1048,116.5350828
103,0.03759624,556,61.82586456
104,0.04259574,230,25.57544757
105,0.04759524,99,11.00856222
106,0.05259474,43,4.78149672
107,0.05759424,12,1.334371178
108,0.06259374,5,0.555987991
109,0.06759324,3,0.333592794
110,0.07259274,0,0
111,0.07759224,0,0
112,0.08259174,18.52901512,2.060381977
113,0.08759124,21.79756303,2.423836654
114,0.09259074,17.3068185,1.924476648
115,0.09759024,19.6314366,2.182968598
116,0.10258974,25.34757406,2.818589354
117,0.10758924,13.50199666,1.501389599
118,0.11258874,9.701898352,1.078827794
119,0.11758824,11.57793539,1.287438607
120,0.12258774,17.66315897,1.964100853
121,0.12758724,10.16370358,1.130179426
122,0.13258674,21.10090349,2.346369786
123,0.13758624,8.895333696,0.989139742
124,0.14258574,6.958289882,0.773745122
125,0.14758524,6.697617552,0.744758985
126,0.15258474,14.90846306,1.657785284
127,0.15758424,8.735325324,0.971347195
128,0.16258374,8.974461088,0.997938518
129,0.16758324,16.03936054,1.783538368
130,0.17258274,11.06011212,1.229857903
131,0.17758224,14.55644451,1.618641667
132,0.18258174,21.44850834,2.385022611
133,0.18758124,15.19879079,1.69006903
134,0.19258074,14.04670952,1.561960361
135,0.19758024,13.62399469,1.514955486
136,0.20257974,16.46464685,1.830829184
137,0.20757924,18.19736717,2.023503521
138,0.21257874,29.93999641,3.329255689
139,0.21757824,30.14493505,3.352044373
140,0.22257774,27.46798356,3.054373797
141,0.22757724,30.78392243,3.423098235
142,0.23257674,34.09564763,3.791354123
143,0.23757624,54.75198145,6.088288831
144,0.24257574,70.88000258,7.881686043
145,0.24757524,117.1050064,13.02179544
146,0.25257474,133.8382588,14.88249292
147,0.25757424,163.9632647,18.23232122
148,0.26257374,171.1355042,19.02985702
149,0.26757324,209.2648232,23.26974571
150,0.27257274,224.1063316,24.92008581
151,0.27757224,190.8731578,21.2246367
152,0.28257174,200.2182373,22.26378709
153,0.28757124,175.1283067,19.47384707
154,0.29257074,148.6270335,16.52696914
155,0.29757024,132.2134619,14.7018194
156,0.30256974,91.00952588,10.12004068
157,0.30756924,79.30604929,8.818642199
158,0.31256874,63.31369337,7.040330631
159,0.31756824,52.31874105,5.817718342
160,0.32256774,32.95161991,3.664140988
161,0.32756724,33.07880413,3.678283568
162,0.33256674,26.08612236,2.900714151
163,0.33756624,25.75387954,2.863769547
164,0.34256574,30.82244812,3.427382199
165,0.34756524,30.36154723,3.376131127
166,0.35256474,31.00088022,3.44722342
167,0.35756424,31.68483291,3.523277317
168,0.36256374,37.91687127,4.216265014
169,0.36756324,40.05937512,4.454506296
170,0.37256274,45.47868818,5.057120892
171,0.37756224,52.82377925,5.873877377
172,0.38256174,64.54808444,7.177591954
173,0.38756124,62.07542563,6.902638233
174,0.39256074,51.23431364,5.697132619
175,0.39756024,47.4850022,5.280218192
176,0.40255974,51.6608739,5.744565095
177,0.40755924,65.35906917,7.267771507
178,0.41255874,65.50048031,7.283496086
179,0.41755824,68.11844206,7.574607145
180,0.42255774,68.58453387,7.626435436
181,0.42755724,71.48268986,7.94870342
182,0.43255674,93.86105813,10.43712422
183,0.43755624,107.497202,11.95343067
184,0.44255574,108.2580098,12.03803067
185,0.44755524,118.4805976,13.17475788
186,0.45255474,153.2854755,17.04497671
187,0.45755424,180.6706438,20.09014165
188,0.46255374,232.1428277,25.81372486
189,0.46755324,327.1343016,36.37654861
190,0.47255274,471.5007917,52.42975555
191,0.47755224,633.2632974,70.41735766
192,0.48255174,858.2605622,95.43651309
193,0.48755124,1238.056593,137.6689195
194,0.49255074,1641.650436,182.5475855
195,0.49755024,2158.498726,240.0198739
196,0.50254974,2639.007346,293.4512783
197,0.50754924,3097.655544,344.4518563
198,0.51254874,3483.897,387.4009785
199,0.51754824,3812.950717,423.9909615
200,0.52254774,3989.264476,443.596628
201,0.52754724,3934.167054,437.4699271
202,0.53254674,3579.632058,398.046487
203,0.53754624,3192.733182,355.0242613
204,0.54254574,2676.735792,297.6465909
205,0.54754524,2208.234954,245.5504229
206,0.55254474,1685.010771,187.3691506
207,0.55754424,1183.494058,131.6016967
208,0.56254374,826.7369245,91.93116029
209,0.56754324,599.4687793,66.65948841
210,0.57254274,415.5389264,46.20693055
211,0.57754224,245.8431713,27.33717017
212,0.58254174,223.6088657,24.86476879
213,0.58754124,167.3376443,18.60754412
214,0.59254074,151.2376819,16.81726698
215,0.59754024,168.6661234,18.75526781
216,0.60253974,169.0522399,18.79820304
217,0.60753924,182.0888886,20.24784706
218,0.61253874,190.0399023,21.13198068
219,0.61753824,212.3402011,23.61172035
220,0.62253774,164.9489884,18.34193133
221,0.62753724,165.8105349,18.43773323
222,0.63253674,172.7940428,19.21428253
223,0.63753624,136.0143153,15.12446517
224,0.64253574,136.4568644,15.17367557
225,0.64753524,158.354531,17.6086435
226,0.65253474,156.0933684,17.35720765
227,0.65753424,161.3851296,17.94563879
228,0.66253374,174.7091637,19.42723937
229,0.66753324,202.1928201,22.48335596
230,0.67253274,305.2750961,33.94585746
231,0.67753224,369.2908313,41.06425345
232,0.68253174,444.5331894,49.43102296
233,0.68753124,484.9137513,53.92124445
234,0.69253074,575.0043292,63.93910033
235,0.69753024,650.3751764,72.3201575
236,0.70252974,673.0887026,74.84584706
237,0.70752924,691.4950148,76.89258476
238,0.71252874,687.0451583,76.39777142
239,0.71752824,654.2866387,72.75510272
240,0.72252774,537.4337217,59.76133901
241,0.72752724,508.7728788,56.57432212
242,0.73252674,433.9726522,48.25671658
243,0.73752624,352.2949807,39.17435568
244,0.74252574,299.7092556,33.32694937
245,0.74752524,196.280352,21.82590371
246,0.75252474,168.5194233,18.7389551
247,0.75752424,133.4649705,14.84098416
248,0.76252374,111.1297383,12.35735998
249,0.76752324,78.03385949,8.677177748
250,0.77252274,82.132439,9.132929946
251,0.77752224,49.31274704,5.483459028
252,0.78252174,58.65631781,6.522441656
253,0.78752124,45.93690184,5.10807315
254,0.79252074,42.22623284,4.69545567
255,0.79752024,41.75087886,4.642597449
256,0.80251974,29.12790286,3.238952836
257,0.80751924,49.57025863,5.512093698
258,0.81251874,33.58849277,3.734959721
