Channel,Energy,Counts,CPS
0,-0.47735226,0,0
1,-0.47235276,0,0
2,-0.46735326,0,0
3,-0.46235376,0,0
4,-0.45735426,0,0
5,-0.45235476,0,0
6,-0.44735526,0,0
7,-0.44235576,0,0
8,-0.43735626,0,0
9,-0.43235676,0,0
10,-0.42735726,0,0
11,-0.42235776,0,0
12,-0.41735826,0,0
13,-0.41235876,0,0
14,-0.40735926,0,0
15,-0.40235976,0,0
16,-0.39736026,0,0
17,-0.39236076,0,0
18,-0.38736126,0,0
19,-0.38236176,0,0
20,-0.37736226,0,0
21,-0.37236276,0,0
22,-0.36736326,0,0
23,-0.36236376,0,0
24,-0.35736426,0,0
25,-0.35236476,0,0
26,-0.34736526,0,0
27,-0.34236576,0,0
28,-0.33736626,0,0
29,-0.33236676,0,0
30,-0.32736726,0,0
31,-0.32236776,0,0
32,-0.31736826,0,0
33,-0.31236876,0,0
34,-0.30736926,0,0
35,-0.30236976,0,0
36,-0.29737026,0,0
37,-0.29237076,0,0
38,-0.28737126,0,0
39,-0.28237176,0,0
40,-0.27737226,0,0
41,-0.27237276,0,0
42,-0.26737326,0,0
43,-0.26237376,0,0
44,-0.25737426,0,0
45,-0.25237476,0,0
46,-0.24737526,0,0
47,-0.24237576,0,0
48,-0.23737626,0,0
49,-0.23237676,0,0
50,-0.22737726,0,0
51,-0.22237776,0,0
52,-0.21737826,0,0
53,-0.21237876,0,0
54,-0.20737926,0,0
55,-0.20237976,0,0
56,-0.19738026,0,0
57,-0.19238076,0,0
58,-0.18738126,0,0
59,-0.18238176,0,0
60,-0.17738226,0,0
61,-0.17238276,0,0
62,-0.16738326,0,0
63,-0.16238376,0,0
64,-0.15738426,0,0
65,-0.15238476,0,0
66,-0.14738526,0,0
67,-0.14238576,0,0
68,-0.13738626,0,0
69,-0.13238676,0,0
70,-0.12738726,0,0
71,-0.12238776,0,0
72,-0.11738826,0,0
73,-0.11238876,0,0
74,-0.10738926,0,0
75,-0.10238976,0,0
76,-0.09739026,0,0
77,-0.09239076,0,0
78,-0.08739126,0,0
79,-0.08239176,0,0
80,-0.07739226,0,0
81,-0.07239276,1,0.008333333
82,-0.06739326,5,0.041666667
83,-0.06239376,17,0.141666667
84,-0.05739426,44,0.366666667
85,-0.05239476,208,1.733333333
86,-0.04739526,461,3.841666667
87,-0.04239576,1321,11.00833333
88,-0.03739626,3073,25.60833333
89,-0.03239676,6539,54.49166667
90,-0.02739726,12108,100.9
91,-0.02239776,20138,167.8166667
92,-0.01739826,31075,258.9583333
93,-0.01239876,42334,352.7833333
94,-0.00739926,51956,432.9666667
95,-0.00239976,57870,482.25
96,0.00259974,57069,475.575
97,0.00759924,51799,431.6583333
98,0.01259874,41707,347.5583333
99,0.01759824,30311,252.5916667
100,0.02259774,20281,169.0083333
101,0.02759724,12027,100.225
102,0.03259674,6566,54.71666667
103,0.03759624,3299,27.49166667
104,0.04259574,1494,12.45
105,0.04759524,617,5.141666667
106,0.05259474,215,1.791666667
107,0.05759424,70,0.583333333
108,0.06259374,29,0.241666667
109,0.06759324,7.954845151,0.066290376
110,0.07259274,0.955031849,0.007958599
111,0.07759224,4.838961629,0.04032468
112,0.08259174,219.391608,1.8282634
113,0.08759124,174.3394727,1.452828939
114,0.09259074,163.727417,1.364395142
115,0.09759024,129.7305345,1.081087787
116,0.10258974,147.2304334,1.226920279
117,0.10758924,142.302391,1.185853259
118,0.11258874,129.0201171,1.075167643
119,0.11758824,149.1313108,1.242760923
120,0.12258774,168.7613393,1.406344494
121,0.12758724,190.2053618,1.585044681
122,0.13258674,220.6207661,1.838506384
123,0.13758624,223.1637294,1.859697745
124,0.14258574,245.0518478,2.042098731
125,0.14758524,277.5099617,2.312583014
126,0.15258474,282.8453675,2.357044729
127,0.15758424,233.4321319,1.945267766
128,0.16258374,236.3882407,1.969902006
129,0.16758324,213.5258179,1.779381816
130,0.17258274,174.0081319,1.450067766
131,0.17758224,141.0881103,1.175734252
132,0.18258174,138.0981554,1.150817961
133,0.18758124,110.8308138,0.923590115
134,0.19258074,99.3834372,0.82819531
135,0.19758024,94.59790065,0.788315839
136,0.20257974,86.98163641,0.72484697
137,0.20757924,97.193046,0.80994205
138,0.21257874,108.6497899,0.905414915
139,0.21757824,105.693227,0.880776892
140,0.22257774,133.9622058,1.116351715
141,0.22757724,156.3208019,1.302673349
142,0.23257674,182.035794,1.51696495
143,0.23757624,237.2781261,1.977317718
144,0.24257574,319.9716299,2.666430249
145,0.24757524,430.2755203,3.585629336
146,0.25257474,515.1389809,4.292824841
147,0.25757424,681.6994748,5.680828956
148,0.26257374,732.2763714,6.102303095
149,0.26757324,915.8296084,7.631913404
150,0.27257274,924.8840972,7.707367477
151,0.27757224,924.7332485,7.706110404
152,0.28257174,910.1258464,7.584382053
153,0.28757124,783.8044216,6.531703513
154,0.29257074,673.0934698,5.609112248
155,0.29757024,557.0334185,4.641945154
156,0.30256974,425.946081,3.549550675
157,0.30756924,314.3366612,2.619472176
158,0.31256874,236.2077911,1.968398259
159,0.31756824,180.4956796,1.504130664
160,0.32256774,146.1472365,1.217893637
161,0.32756724,115.0177126,0.958480938
162,0.33256674,109.188889,0.909907408
163,0.33756624,107.0357375,0.891964479
164,0.34256574,105.141658,0.876180483
165,0.34756524,113.2176033,0.943480027
166,0.35256474,133.0501045,1.10875087
167,0.35756424,142.519449,1.187662075
168,0.36256374,146.5367766,1.221139805
169,0.36756324,146.2519815,1.218766513
170,0.37256274,158.3892114,1.319910095
171,0.37756224,170.4353685,1.420294737
172,0.38256174,180.2098895,1.501749079
173,0.38756124,190.9182539,1.590985449
174,0.39256074,210.8940847,1.757450706
175,0.39756024,218.1817802,1.818181501
176,0.40255974,199.1426454,1.659522045
177,0.40755924,206.208103,1.718400858
178,0.41255874,192.2186015,1.601821679
179,0.41755824,174.9917586,1.458264655
180,0.42255774,175.1093085,1.459244238
181,0.42755724,183.8517555,1.532097963
182,0.43255674,205.7484133,1.714570111
183,0.43755624,214.1239997,1.784366664
184,0.44255574,211.2604328,1.760503606
185,0.44755524,242.8823721,2.024019767
186,0.45255474,262.8821054,2.190684211
187,0.45755424,340.2004942,2.835004118
188,0.46255374,416.3197421,3.469331184
189,0.46755324,562.7175931,4.689313275
190,0.47255274,751.2029264,6.260024387
191,0.47755224,951.8170585,7.931808821
192,0.48255174,1272.436472,10.60363727
193,0.48755124,1756.7682,14.639735
194,0.49255074,2248.190895,18.73492413
195,0.49755024,2829.888829,23.58240691
196,0.50254974,3399.499348,28.32916123
197,0.50754924,3955.62697,32.96355808
198,0.51254874,4606.660833,38.38884028
199,0.51754824,5060.568507,42.17140422
200,0.52254774,5318.845299,44.32371082
201,0.52754724,5082.746004,42.3562167
202,0.53254674,4675.874934,38.96562445
203,0.53754624,4275.616179,35.63013482
204,0.54254574,3538.468841,29.48724034
205,0.54754524,3054.939094,25.45782578
206,0.55254474,2500.02965,20.83358042
207,0.55754424,1957.076527,16.30897106
208,0.56254374,1477.422885,12.31185738
209,0.56754324,1124.227168,9.368559736
210,0.57254274,932.8522753,7.77376896
211,0.57754224,855.4982407,7.129152006
212,0.58254174,904.8989919,7.540824932
213,0.58754124,886.3869411,7.386557842
214,0.59254074,880.2553974,7.335461645
215,0.59754024,902.9979095,7.524982579
216,0.60253974,997.0770957,8.308975798
217,0.60753924,1173.26422,9.777201831
218,0.61253874,1306.038599,10.88365499
219,0.61753824,1323.453454,11.02877879
220,0.62253774,1333.846366,11.11538638
221,0.62753724,1194.203633,9.95169694
222,0.63253674,1185.319421,9.877661839
223,0.63753624,1140.209583,9.501746525
224,0.64253574,1168.443458,9.737028817
225,0.64753524,1207.30332,10.060861
226,0.65253474,1268.56686,10.5713905
227,0.65753424,1398.972347,11.65810289
228,0.66253374,1730.278137,14.41898448
229,0.66753324,2145.9757,17.88313083
230,0.67253274,2644.366744,22.03638953
231,0.67753224,3166.361401,26.38634501
232,0.68253174,3787.755797,31.56463164
233,0.68753124,4441.848988,37.01540824
234,0.69253074,4935.709011,41.13090842
235,0.69753024,5373.970841,44.78309034
236,0.70252974,5456.537125,45.47114271
237,0.70752924,5429.966602,45.24972169
238,0.71252874,5375.853009,44.79877507
239,0.71752824,4947.899159,41.23249299
240,0.72252774,4453.634973,37.11362478
241,0.72752724,3828.05119,31.90042659
242,0.73252674,3237.087228,26.9757269
243,0.73752624,2512.490286,20.93741905
244,0.74252574,1927.519676,16.06266397
245,0.74752524,1471.235798,12.26029831
246,0.75252474,1057.629864,8.813582196
247,0.75752424,828.6133488,6.90511124
248,0.76252374,709.8450961,5.915375801
249,0.76752324,541.9904624,4.516587187
250,0.77252274,480.4503607,4.003753006
251,0.77752224,420.3720854,3.503100711
252,0.78252174,410.3976261,3.419980218
253,0.78752124,378.298465,3.152487208
254,0.79252074,419.6927711,3.497439759
255,0.79752024,374.1989061,3.118324217
256,0.80251974,367.8858267,3.065715223
257,0.80751924,307.93308,2.566109
